date,line,process,period,planned_qty,actual_qty,good_qty,defect_qty,operating_minutes,downtime_minutes,cycle_time_sec,worker_count,changeover_minutes,machine_stop_minutes,material_delay_minutes,quality_issue_minutes,worker_absence_minutes,primary_downtime_reason,primary_defect_reason
2026-01-02,LINE-C,Assembly,Before,475,437,427,10,443.0,37.0,60.5,7,14.5,2.4,4.4,12.8,2.9,Changeover,Assembly Error
2026-01-02,LINE-C,Finishing,Before,475,437,430,7,456.8,23.2,53.4,5,5.9,5.1,6.7,1.1,4.4,Material Delay,Stitch Defect
2026-01-03,LINE-A,Cutting,Before,460,435,427,8,457.5,22.5,53.3,7,6.4,4.4,3.2,3.6,4.9,Changeover,Material Defect
2026-01-03,LINE-A,Stitching,Before,460,435,424,11,448.5,31.5,58.9,9,5.8,7.2,7.1,10.8,0.6,Quality Issue,Stitch Defect
2026-01-03,LINE-A,Assembly,Before,460,435,426,9,443.7,36.3,61.2,8,3.7,4.9,12.5,7.9,7.3,Material Delay,Assembly Error
2026-01-03,LINE-A,Finishing,Before,460,435,429,6,456.4,23.6,55.2,6,5.1,3.6,7.1,5.1,2.7,Material Delay,Finishing Defect
2026-01-03,LINE-B,Cutting,Before,437,367,361,6,461.5,18.5,50.3,7,4.4,3.4,6.6,2.0,2.1,Material Delay,Assembly Error
2026-01-03,LINE-B,Stitching,Before,437,367,356,11,422.4,57.6,68.9,9,16.2,26.0,8.1,5.7,1.6,Machine Stop,Stitch Defect
2026-01-03,LINE-B,Assembly,Before,437,367,359,8,449.5,30.5,60.7,8,4.0,5.3,8.8,4.8,7.6,Material Delay,Material Defect
2026-01-03,LINE-B,Finishing,Before,437,367,361,6,456.5,23.5,55.4,6,10.0,4.4,3.4,4.0,1.7,Changeover,Finishing Defect
2026-01-03,LINE-C,Cutting,Before,440,440,431,9,455.6,24.4,50.8,7,6.1,4.4,4.1,5.0,4.8,Changeover,Material Defect
2026-01-03,LINE-C,Stitching,Before,440,440,429,11,440.4,39.6,59.7,9,8.7,5.9,10.1,9.0,5.9,Material Delay,Stitch Defect
2026-01-03,LINE-C,Assembly,Before,440,440,431,9,443.9,36.1,59.9,8,7.5,3.6,16.8,3.6,4.6,Material Delay,Assembly Error
2026-01-03,LINE-C,Finishing,Before,440,440,434,6,462.5,17.5,55.1,6,3.0,4.2,4.8,4.4,1.1,Material Delay,Finishing Defect
2026-01-04,LINE-A,Cutting,Before,452,420,412,8,457.1,22.9,54.1,7,3.9,7.6,2.9,4.6,3.9,Machine Stop,Material Defect
2026-01-04,LINE-A,Stitching,Before,452,420,411,9,451.1,28.9,58.8,9,5.7,4.4,7.0,7.2,4.6,Quality Issue,Material Defect
2026-01-04,LINE-A,Assembly,Before,452,420,411,9,449.3,30.7,64.1,7,5.2,3.8,8.0,7.7,6.0,Material Delay,Material Defect
2026-01-04,LINE-A,Finishing,Before,452,420,414,6,460.6,19.4,54.8,5,4.5,4.0,3.3,1.7,5.9,Worker Absence,Finishing Defect
2026-01-04,LINE-B,Cutting,Before,422,374,368,6,455.4,24.6,50.8,7,6.1,2.2,6.1,2.1,8.1,Worker Absence,Material Defect
2026-01-04,LINE-B,Stitching,Before,422,374,362,12,415.0,65.0,66.5,9,36.4,8.6,6.6,3.5,9.9,Changeover,Material Defect
2026-01-04,LINE-B,Assembly,Before,422,374,365,9,454.1,25.9,62.3,7,3.8,2.9,5.9,9.9,3.4,Quality Issue,Stitch Defect
2026-01-04,LINE-B,Finishing,Before,422,374,368,6,459.4,20.6,56.0,6,2.5,6.4,1.1,10.1,0.5,Quality Issue,Assembly Error
2026-01-04,LINE-C,Cutting,Before,452,429,421,8,453.0,27.0,49.8,6,1.9,12.0,5.2,6.5,1.4,Machine Stop,Finishing Defect
2026-01-04,LINE-C,Stitching,Before,452,429,417,12,445.2,34.8,62.2,9,4.0,8.8,10.3,6.3,5.4,Material Delay,Stitch Defect
2026-01-04,LINE-C,Assembly,Before,452,429,420,9,454.5,25.5,60.3,7,7.7,1.0,8.6,2.8,5.4,Material Delay,Assembly Error
2026-01-04,LINE-C,Finishing,Before,452,429,422,7,458.3,21.7,55.0,5,5.4,3.0,3.9,3.0,6.4,Worker Absence,Finishing Defect
2026-01-05,LINE-A,Cutting,Before,459,437,431,6,452.9,27.1,51.6,7,4.6,1.5,5.9,12.5,2.6,Quality Issue,Material Defect
2026-01-05,LINE-A,Stitching,Before,459,437,427,10,444.4,35.6,58.6,8,8.7,9.0,8.0,3.1,6.8,Machine Stop,Material Defect
2026-01-05,LINE-A,Assembly,Before,459,437,429,8,444.4,35.6,60.9,7,2.6,13.0,11.7,3.4,4.9,Machine Stop,Finishing Defect
2026-01-05,LINE-A,Finishing,Before,459,437,430,7,456.3,23.7,55.2,5,1.5,6.8,3.2,4.4,7.8,Worker Absence,Finishing Defect
2026-01-05,LINE-B,Cutting,Before,443,365,359,6,455.4,24.6,52.5,7,5.8,5.2,5.3,4.7,3.6,Changeover,Stitch Defect
2026-01-05,LINE-B,Stitching,Before,443,365,351,14,421.0,59.0,69.1,9,34.3,16.0,6.8,1.6,0.3,Changeover,Finishing Defect
2026-01-05,LINE-B,Assembly,Before,443,365,356,9,447.7,32.3,61.5,8,9.9,7.2,7.4,5.9,1.9,Changeover,Assembly Error
2026-01-05,LINE-B,Finishing,Before,443,365,359,6,454.6,25.4,55.4,6,6.7,2.5,6.0,7.5,2.7,Quality Issue,Finishing Defect
2026-01-05,LINE-C,Cutting,Before,458,422,414,8,456.5,23.5,51.2,7,3.3,5.1,6.1,2.2,6.8,Worker Absence,Material Defect
2026-01-05,LINE-C,Stitching,Before,458,422,412,10,450.2,29.8,56.2,10,5.7,10.1,8.6,2.9,2.5,Machine Stop,Stitch Defect
2026-01-05,LINE-C,Assembly,Before,458,422,413,9,440.3,39.7,62.5,8,9.2,8.7,5.3,14.7,1.8,Quality Issue,Assembly Error
2026-01-05,LINE-C,Finishing,Before,458,422,416,6,457.7,22.3,55.8,6,4.4,5.4,7.4,1.8,3.3,Material Delay,Assembly Error
2026-01-06,LINE-A,Cutting,Before,437,437,429,8,457.5,22.5,51.4,7,5.5,6.8,2.2,4.7,3.3,Machine Stop,Finishing Defect
2026-01-06,LINE-A,Stitching,Before,437,437,427,10,449.6,30.4,58.3,10,9.0,6.1,3.9,5.7,5.7,Changeover,Assembly Error
2026-01-06,LINE-A,Assembly,Before,437,437,427,10,452.4,27.6,60.0,7,1.6,4.3,10.1,10.4,1.2,Quality Issue,Material Defect
2026-01-06,LINE-A,Finishing,Before,437,437,431,6,457.0,23.0,55.6,6,5.0,6.0,7.0,2.6,2.4,Material Delay,Finishing Defect
2026-01-06,LINE-B,Cutting,Before,481,330,324,6,453.3,26.7,52.3,6,4.1,4.9,9.8,5.2,2.7,Material Delay,Finishing Defect
2026-01-06,LINE-B,Stitching,Before,481,330,318,12,408.6,71.4,74.1,8,30.9,23.7,12.2,1.0,3.6,Changeover,Stitch Defect
2026-01-06,LINE-B,Assembly,Before,481,330,323,7,441.9,38.1,60.5,9,15.9,7.2,7.9,5.5,1.6,Changeover,Assembly Error
2026-01-06,LINE-B,Finishing,Before,481,330,325,5,458.4,21.6,55.6,5,4.7,2.4,8.7,1.8,4.0,Material Delay,Material Defect
2026-01-06,LINE-C,Cutting,Before,465,431,424,7,452.9,27.1,52.0,7,4.6,5.2,3.9,7.7,5.7,Quality Issue,Material Defect
2026-01-06,LINE-C,Stitching,Before,465,431,420,11,444.3,35.7,59.6,9,6.2,5.1,8.2,9.0,7.2,Quality Issue,Stitch Defect
2026-01-06,LINE-C,Assembly,Before,465,431,422,9,449.7,30.3,62.6,8,3.5,6.5,6.9,7.5,5.9,Quality Issue,Finishing Defect
2026-01-06,LINE-C,Finishing,Before,465,431,425,6,457.7,22.3,51.2,6,6.4,4.2,6.0,3.8,1.9,Changeover,Finishing Defect
2026-01-07,LINE-A,Cutting,Before,442,442,434,8,453.7,26.3,53.5,7,5.0,5.7,6.0,3.7,5.9,Material Delay,Material Defect
2026-01-07,LINE-A,Stitching,Before,442,442,431,11,444.8,35.2,60.2,9,6.1,9.6,10.2,4.7,4.6,Material Delay,Stitch Defect
2026-01-07,LINE-A,Assembly,Before,442,442,432,10,453.4,26.6,60.7,7,1.8,5.4,11.2,4.5,3.7,Material Delay,Material Defect
2026-01-07,LINE-A,Finishing,Before,442,442,436,6,456.7,23.3,52.7,6,3.3,6.8,4.3,4.4,4.5,Machine Stop,Finishing Defect
2026-01-07,LINE-B,Cutting,Before,470,331,325,6,452.7,27.3,53.4,6,2.6,2.2,11.0,9.9,1.6,Material Delay,Assembly Error
2026-01-07,LINE-B,Stitching,Before,470,331,320,11,414.5,65.5,75.0,8,23.2,25.2,10.2,5.9,1.0,Machine Stop,Stitch Defect
2026-01-07,LINE-B,Assembly,Before,470,331,324,7,450.9,29.1,58.5,8,3.5,4.7,6.7,4.9,9.3,Worker Absence,Assembly Error
2026-01-07,LINE-B,Finishing,Before,470,331,326,5,455.5,24.5,55.6,5,3.4,6.8,8.0,3.1,3.2,Material Delay,Finishing Defect
2026-01-07,LINE-C,Cutting,Before,422,422,415,7,458.3,21.7,49.4,7,3.2,2.1,12.3,2.9,1.2,Material Delay,Material Defect
2026-01-07,LINE-C,Stitching,Before,422,422,413,9,449.5,30.5,59.3,8,5.7,6.5,9.7,7.2,1.4,Material Delay,Stitch Defect
2026-01-07,LINE-C,Assembly,Before,422,422,412,10,448.2,31.8,61.3,7,7.6,6.7,13.1,2.8,1.6,Material Delay,Material Defect
2026-01-07,LINE-C,Finishing,Before,422,422,417,5,459.7,20.3,54.3,5,2.2,8.9,6.1,2.9,0.2,Machine Stop,Material Defect
2026-01-08,LINE-A,Cutting,Before,424,424,417,7,451.8,28.2,50.2,7,7.8,6.2,6.8,3.1,4.3,Changeover,Material Defect
2026-01-08,LINE-A,Stitching,Before,424,424,414,10,445.1,34.9,60.1,10,4.4,5.9,9.5,9.4,5.7,Material Delay,Assembly Error
2026-01-08,LINE-A,Assembly,Before,424,424,415,9,449.6,30.4,58.3,8,7.6,3.0,4.2,6.9,8.7,Worker Absence,Assembly Error
2026-01-08,LINE-A,Finishing,Before,424,424,418,6,460.0,20.0,56.2,6,2.7,4.0,4.8,5.9,2.6,Quality Issue,Stitch Defect
2026-01-08,LINE-B,Cutting,Before,447,368,362,6,453.4,26.6,55.0,6,8.0,1.2,6.0,2.1,9.3,Worker Absence,Material Defect
2026-01-08,LINE-B,Stitching,Before,447,368,356,12,426.9,53.1,69.6,8,31.4,12.9,4.2,0.5,4.1,Changeover,Stitch Defect
2026-01-08,LINE-B,Assembly,Before,447,368,359,9,451.3,28.7,57.9,8,1.1,4.1,7.5,10.8,5.2,Quality Issue,Assembly Error
2026-01-08,LINE-B,Finishing,Before,447,368,363,5,459.2,20.8,54.4,5,1.9,7.7,2.6,6.9,1.7,Machine Stop,Finishing Defect
2026-01-08,LINE-C,Cutting,Before,461,447,439,8,453.3,26.7,54.3,7,12.4,2.5,6.1,2.2,3.5,Changeover,Finishing Defect
2026-01-08,LINE-C,Stitching,Before,461,447,437,10,443.0,37.0,59.0,8,8.0,8.5,6.6,5.8,8.1,Machine Stop,Stitch Defect
2026-01-08,LINE-C,Assembly,Before,461,447,438,9,446.2,33.8,59.8,8,9.7,8.2,9.4,1.9,4.6,Changeover,Assembly Error
2026-01-08,LINE-C,Finishing,Before,461,447,443,4,454.1,25.9,56.7,6,4.4,1.7,11.2,6.2,2.4,Material Delay,Stitch Defect
2026-01-09,LINE-A,Cutting,Before,461,426,418,8,450.2,29.8,49.2,6,6.3,3.0,7.7,5.3,7.5,Material Delay,Material Defect
2026-01-09,LINE-A,Stitching,Before,461,426,414,12,447.3,32.7,60.8,9,1.7,8.2,13.2,6.9,2.7,Material Delay,Stitch Defect
2026-01-09,LINE-A,Assembly,Before,461,426,417,9,448.2,31.8,63.1,9,8.7,8.1,6.5,3.6,4.9,Changeover,Finishing Defect
2026-01-09,LINE-A,Finishing,Before,461,426,420,6,455.3,24.7,53.1,5,4.2,6.8,5.0,7.0,1.7,Quality Issue,Finishing Defect
2026-01-09,LINE-B,Cutting,Before,454,385,378,7,450.1,29.9,51.9,6,9.4,7.6,6.5,2.1,4.3,Changeover,Material Defect
2026-01-09,LINE-B,Stitching,Before,454,385,372,13,424.4,55.6,66.0,10,38.8,6.2,8.3,1.4,0.9,Changeover,Stitch Defect
2026-01-09,LINE-B,Assembly,Before,454,385,376,9,446.9,33.1,62.5,7,8.5,9.0,8.6,4.2,2.8,Machine Stop,Assembly Error
2026-01-09,LINE-B,Finishing,Before,454,385,379,6,461.0,19.0,56.0,5,2.0,2.9,6.0,5.2,2.9,Material Delay,Assembly Error
2026-01-09,LINE-C,Cutting,Before,456,436,430,6,452.1,27.9,52.3,7,3.1,5.8,9.5,4.1,5.4,Material Delay,Material Defect
2026-01-09,LINE-C,Stitching,Before,456,436,427,9,445.2,34.8,61.2,10,8.7,7.5,4.5,3.7,10.4,Worker Absence,Stitch Defect
2026-01-09,LINE-C,Assembly,Before,456,436,425,11,448.1,31.9,60.7,7,6.6,4.7,11.3,5.0,4.3,Material Delay,Material Defect
2026-01-09,LINE-C,Finishing,Before,456,436,430,6,455.4,24.6,55.6,6,5.2,4.0,5.1,3.2,7.1,Worker Absence,Assembly Error
2026-01-10,LINE-A,Cutting,Before,452,424,418,6,455.8,24.2,52.5,6,2.3,8.0,7.2,4.5,2.2,Machine Stop,Material Defect
2026-01-10,LINE-A,Stitching,Before,452,424,414,10,449.0,31.0,61.4,10,2.4,4.9,8.2,6.4,9.1,Worker Absence,Material Defect
2026-01-10,LINE-A,Assembly,Before,452,424,415,9,443.9,36.1,62.7,7,5.9,9.0,8.1,8.1,5.0,Machine Stop,Assembly Error
2026-01-10,LINE-A,Finishing,Before,452,424,418,6,464.0,16.0,59.4,6,1.5,2.3,4.6,3.8,3.8,Material Delay,Finishing Defect
2026-01-10,LINE-B,Cutting,Before,438,343,337,6,454.1,25.9,51.3,7,9.1,2.6,10.1,3.3,0.8,Material Delay,Material Defect
2026-01-10,LINE-B,Stitching,Before,438,343,332,11,403.8,76.2,70.6,8,18.9,29.6,6.7,1.1,19.9,Machine Stop,Assembly Error
2026-01-10,LINE-B,Assembly,Before,438,343,335,8,451.8,28.2,65.2,7,4.9,7.3,6.5,2.7,6.8,Machine Stop,Assembly Error
2026-01-10,LINE-B,Finishing,Before,438,343,338,5,459.7,20.3,56.1,5,2.3,4.3,5.5,4.3,3.9,Material Delay,Stitch Defect
2026-01-10,LINE-C,Cutting,Before,434,434,427,7,456.3,23.7,49.4,6,4.6,10.6,5.2,2.9,0.4,Machine Stop,Material Defect
2026-01-10,LINE-C,Stitching,Before,434,434,424,10,441.6,38.4,59.8,9,6.0,11.4,6.4,6.0,8.6,Machine Stop,Stitch Defect
2026-01-10,LINE-C,Assembly,Before,434,434,423,11,450.3,29.7,58.3,8,9.9,3.3,7.5,5.4,3.6,Changeover,Assembly Error
2026-01-10,LINE-C,Finishing,Before,434,434,428,6,458.3,21.7,52.4,5,4.4,8.3,2.7,2.7,3.6,Machine Stop,Assembly Error
2026-01-11,LINE-A,Cutting,Before,444,444,437,7,457.7,22.3,51.1,7,6.7,8.7,3.0,2.0,1.9,Machine Stop,Material Defect
2026-01-11,LINE-A,Stitching,Before,444,444,434,10,443.5,36.5,58.2,9,14.2,3.6,5.6,9.4,3.7,Changeover,Stitch Defect
2026-01-11,LINE-A,Assembly,Before,444,444,433,11,443.1,36.9,59.3,8,7.2,3.9,14.5,2.6,8.7,Material Delay,Assembly Error
2026-01-11,LINE-A,Finishing,Before,444,444,438,6,464.2,15.8,54.5,5,3.0,2.6,4.5,3.0,2.7,Material Delay,Finishing Defect
2026-01-11,LINE-B,Cutting,Before,455,342,337,5,451.6,28.4,52.6,6,1.8,6.3,6.5,9.9,3.9,Quality Issue,Material Defect
2026-01-11,LINE-B,Stitching,Before,455,342,330,12,418.2,61.8,73.3,10,32.8,12.2,13.0,1.9,1.9,Changeover,Stitch Defect
2026-01-11,LINE-B,Assembly,Before,455,342,334,8,448.4,31.6,61.9,9,6.8,11.4,6.6,3.0,3.8,Machine Stop,Material Defect
2026-01-11,LINE-B,Finishing,Before,455,342,337,5,458.5,21.5,55.9,5,4.1,3.0,4.9,4.5,5.0,Worker Absence,Finishing Defect
2026-01-11,LINE-C,Cutting,Before,457,435,428,7,452.7,27.3,51.2,7,6.5,4.2,4.0,1.8,10.8,Worker Absence,Stitch Defect
2026-01-11,LINE-C,Stitching,Before,457,435,424,11,446.0,34.0,61.5,8,2.8,5.5,5.7,16.6,3.4,Quality Issue,Stitch Defect
2026-01-11,LINE-C,Assembly,Before,457,435,425,10,453.9,26.1,59.5,9,3.9,3.6,8.2,6.7,3.7,Material Delay,Finishing Defect
2026-01-11,LINE-C,Finishing,Before,457,435,429,6,456.3,23.7,53.3,6,0.7,0.6,12.1,2.5,7.8,Material Delay,Finishing Defect
2026-01-12,LINE-A,Cutting,Before,454,443,436,7,457.5,22.5,50.2,7,8.9,2.0,4.8,2.6,4.2,Changeover,Material Defect
2026-01-12,LINE-A,Stitching,Before,454,443,433,10,445.8,34.2,58.1,8,1.8,2.4,5.9,17.9,6.2,Quality Issue,Material Defect
2026-01-12,LINE-A,Assembly,Before,454,443,432,11,453.1,26.9,61.3,8,3.3,4.9,6.3,5.9,6.5,Worker Absence,Assembly Error
2026-01-12,LINE-A,Finishing,Before,454,443,437,6,459.4,20.6,56.2,5,4.5,1.9,1.9,8.9,3.4,Quality Issue,Finishing Defect
2026-01-12,LINE-B,Cutting,Before,452,316,310,6,455.4,24.6,51.3,7,3.1,2.1,7.6,7.5,4.3,Material Delay,Finishing Defect
2026-01-12,LINE-B,Stitching,Before,452,316,306,10,415.2,64.8,78.7,9,30.1,9.9,8.5,12.5,3.8,Changeover,Finishing Defect
2026-01-12,LINE-B,Assembly,Before,452,316,308,8,447.4,32.6,62.6,7,7.5,4.8,11.0,4.5,4.8,Material Delay,Assembly Error
2026-01-12,LINE-B,Finishing,Before,452,316,312,4,456.9,23.1,51.6,5,7.5,5.6,5.4,3.1,1.5,Changeover,Finishing Defect
2026-01-12,LINE-C,Cutting,Before,464,454,447,7,457.0,23.0,54.4,6,2.2,5.0,2.8,1.9,11.1,Worker Absence,Assembly Error
2026-01-12,LINE-C,Stitching,Before,464,454,444,10,450.1,29.9,58.7,8,2.7,11.2,7.7,4.7,3.6,Machine Stop,Stitch Defect
2026-01-12,LINE-C,Assembly,Before,464,454,445,9,453.3,26.7,59.9,7,5.8,4.8,8.4,1.6,6.1,Material Delay,Assembly Error
2026-01-12,LINE-C,Finishing,Before,464,454,448,6,455.4,24.6,56.0,5,3.0,4.9,6.5,5.8,4.4,Material Delay,Finishing Defect
2026-01-13,LINE-A,Cutting,Before,430,430,424,6,455.0,25.0,54.3,7,3.1,4.0,10.6,3.0,4.3,Material Delay,Material Defect
2026-01-13,LINE-A,Stitching,Before,430,430,420,10,446.8,33.2,60.7,9,6.2,8.5,7.6,6.1,4.8,Machine Stop,Stitch Defect
2026-01-13,LINE-A,Assembly,Before,430,430,420,10,444.7,35.3,61.6,7,12.2,5.2,4.8,6.7,6.4,Changeover,Material Defect
2026-01-13,LINE-A,Finishing,Before,430,430,424,6,460.8,19.2,55.6,6,2.7,3.9,5.8,2.9,3.9,Material Delay,Finishing Defect
2026-01-13,LINE-B,Cutting,Before,444,368,362,6,456.7,23.3,53.5,7,5.5,5.6,8.8,1.4,2.0,Material Delay,Material Defect
2026-01-13,LINE-B,Stitching,Before,444,368,356,12,409.7,70.3,66.7,9,26.0,20.7,22.5,0.8,0.3,Changeover,Stitch Defect
2026-01-13,LINE-B,Assembly,Before,444,368,359,9,445.2,34.8,64.6,9,5.9,10.1,4.6,10.0,4.2,Machine Stop,Assembly Error
2026-01-13,LINE-B,Finishing,Before,444,368,363,5,454.3,25.7,56.5,6,3.2,5.6,7.5,7.7,1.7,Quality Issue,Finishing Defect
2026-01-13,LINE-C,Cutting,Before,454,434,426,8,459.2,20.8,50.5,6,2.8,2.7,6.0,5.7,3.6,Material Delay,Material Defect
2026-01-13,LINE-C,Stitching,Before,454,434,424,10,447.4,32.6,61.8,8,6.2,3.8,13.6,2.8,6.2,Material Delay,Material Defect
2026-01-13,LINE-C,Assembly,Before,454,434,423,11,447.9,32.1,59.3,8,2.7,7.0,9.9,5.9,6.6,Material Delay,Stitch Defect
2026-01-13,LINE-C,Finishing,Before,454,434,428,6,458.4,21.6,54.7,6,6.2,3.8,4.3,2.2,5.1,Changeover,Finishing Defect
2026-01-14,LINE-A,Cutting,Before,438,421,415,6,457.4,22.6,54.8,6,5.2,5.0,4.6,4.1,3.7,Changeover,Stitch Defect
2026-01-14,LINE-A,Stitching,Before,438,421,410,11,447.3,32.7,61.8,8,11.5,4.8,8.0,4.4,4.0,Changeover,Material Defect
2026-01-14,LINE-A,Assembly,Before,438,421,411,10,448.9,31.1,63.9,8,6.2,6.3,7.1,6.5,5.0,Material Delay,Assembly Error
2026-01-14,LINE-A,Finishing,Before,438,421,415,6,455.2,24.8,56.9,6,1.5,1.8,10.4,4.6,6.5,Material Delay,Stitch Defect
2026-01-14,LINE-B,Cutting,Before,456,337,331,6,452.0,28.0,56.7,6,9.1,5.5,7.1,3.5,2.8,Changeover,Material Defect
2026-01-14,LINE-B,Stitching,Before,456,337,326,11,412.3,67.7,73.2,9,15.2,18.9,16.2,14.5,2.9,Machine Stop,Stitch Defect
2026-01-14,LINE-B,Assembly,Before,456,337,329,8,441.4,38.6,65.4,7,5.6,10.1,7.8,14.5,0.6,Quality Issue,Assembly Error
2026-01-14,LINE-B,Finishing,Before,456,337,332,5,458.4,21.6,55.4,6,2.0,7.2,2.8,8.8,0.8,Quality Issue,Assembly Error
2026-01-14,LINE-C,Cutting,Before,459,441,434,7,458.2,21.8,50.1,7,3.4,5.0,7.1,2.5,3.8,Material Delay,Material Defect
2026-01-14,LINE-C,Stitching,Before,459,441,431,10,451.8,28.2,58.9,8,3.6,2.1,12.3,4.0,6.2,Material Delay,Material Defect
2026-01-14,LINE-C,Assembly,Before,459,441,431,10,441.5,38.5,60.0,9,7.2,17.5,8.6,2.7,2.5,Machine Stop,Assembly Error
2026-01-14,LINE-C,Finishing,Before,459,441,434,7,457.0,23.0,53.0,6,2.8,4.0,5.3,9.3,1.6,Quality Issue,Finishing Defect
2026-01-15,LINE-A,Cutting,Before,448,426,419,7,454.1,25.9,51.4,7,5.2,10.3,3.0,3.1,4.3,Machine Stop,Material Defect
2026-01-15,LINE-A,Stitching,Before,448,426,415,11,442.1,37.9,59.3,9,7.2,5.7,11.8,7.3,5.9,Material Delay,Stitch Defect
2026-01-15,LINE-A,Assembly,Before,448,426,416,10,452.5,27.5,63.7,9,5.2,5.0,9.6,5.3,2.4,Material Delay,Assembly Error
2026-01-15,LINE-A,Finishing,Before,448,426,421,5,459.0,21.0,58.3,5,2.1,3.7,5.6,5.0,4.6,Material Delay,Finishing Defect
2026-01-15,LINE-B,Cutting,Before,451,369,362,7,449.4,30.6,51.6,6,6.8,3.3,10.5,1.6,8.4,Material Delay,Stitch Defect
2026-01-15,LINE-B,Stitching,Before,451,369,356,13,398.7,81.3,64.7,10,24.7,28.7,16.6,6.6,4.7,Machine Stop,Stitch Defect
2026-01-15,LINE-B,Assembly,Before,451,369,362,7,450.8,29.2,60.3,9,7.5,7.0,6.0,5.4,3.3,Changeover,Assembly Error
2026-01-15,LINE-B,Finishing,Before,451,369,364,5,457.9,22.1,53.0,5,1.0,3.2,7.2,7.8,2.9,Quality Issue,Assembly Error
2026-01-15,LINE-C,Cutting,Before,470,457,449,8,454.1,25.9,50.1,7,1.2,10.4,9.0,3.7,1.6,Machine Stop,Assembly Error
2026-01-15,LINE-C,Stitching,Before,470,457,446,11,441.7,38.3,57.9,8,5.3,7.2,10.2,6.0,9.6,Material Delay,Material Defect
2026-01-15,LINE-C,Assembly,Before,470,457,446,11,451.0,29.0,58.0,8,5.1,7.2,10.1,4.9,1.7,Material Delay,Stitch Defect
2026-01-15,LINE-C,Finishing,Before,470,457,450,7,462.8,17.2,52.5,6,3.6,1.6,6.4,3.3,2.3,Material Delay,Finishing Defect
